question_id,human_score,ai_score,max_marks,answer_type,num_concepts,confidence,has_diagram,method
Q1_a,5,3.25,10.0,essay,3,high,False,LLM Concept v4
Q1_a,5,5.0,10.0,essay,3,high,False,LLM Concept v4
Q1_a,0,1.75,10.0,essay,3,medium,False,LLM Concept v4
Q1_a,5,5.0,10.0,essay,3,high,False,LLM Concept v4
Q1_a,5,3.75,10.0,essay,4,high,False,LLM Concept v4
Q1_a,10,1.75,10.0,essay,3,medium,False,LLM Concept v4
Q1_a,10,6.75,10.0,essay,3,high,False,LLM Concept v4
Q1_a,3,3.25,10.0,essay,3,medium,True,LLM Concept v4
Q1_a,5,6.75,10.0,essay,3,high,False,LLM Concept v4
Q1_a,7,5.0,10.0,essay,3,high,False,LLM Concept v4
Q1_a,10,6.75,10.0,essay,3,high,False,LLM Concept v4
Q1_a,5,3.25,10.0,essay,3,high,False,LLM Concept v4
Q1_a,7,5.0,10.0,essay,3,high,False,LLM Concept v4
Q1_a,8,5.0,10.0,essay,3,high,False,LLM Concept v4
Q1_a,5,3.25,10.0,essay,3,high,False,LLM Concept v4
Q1_a,10,8.25,10.0,essay,3,high,False,LLM Concept v4
Q1_a,10,5.0,10.0,essay,3,high,False,LLM Concept v4
Q1_a,5,6.75,10.0,essay,3,high,False,LLM Concept v4
Q1_a,6,6.75,10.0,essay,3,high,False,LLM Concept v4
Q1_a,8,3.25,10.0,essay,3,high,False,LLM Concept v4
Q1_a,8,3.25,10.0,essay,3,high,False,LLM Concept v4
Q1_b,12,10.0,15.0,essay,3,high,False,LLM Concept v4
Q1_b,10,10.0,15.0,essay,3,high,False,LLM Concept v4
Q1_b,5,5.0,15.0,essay,3,high,False,LLM Concept v4
Q1_b,3,0.0,15.0,essay,3,high,False,LLM Concept v4
Q1_b,10,12.5,15.0,essay,3,high,False,LLM Concept v4
Q1_b,0,10.0,15.0,essay,3,medium,False,LLM Concept v4
Q1_b,10,12.5,15.0,essay,3,high,False,LLM Concept v4
Q1_b,5,7.5,15.0,essay,3,medium,False,LLM Concept v4
Q1_b,15,15.0,15.0,essay,3,high,False,LLM Concept v4
Q1_b,0,5.0,15.0,essay,3,high,False,LLM Concept v4
Q1_b,5,3.75,15.0,essay,4,high,False,LLM Concept v4
Q1_b,15,10.0,15.0,essay,3,high,False,LLM Concept v4
Q1_b,10,7.5,15.0,essay,3,high,False,LLM Concept v4
Q1_b,15,10.0,15.0,essay,3,high,False,LLM Concept v4
Q1_b,10,9.5,15.0,essay,4,high,False,LLM Concept v4
Q1_b,10,12.5,15.0,essay,3,high,False,LLM Concept v4
Q1_b,10,7.5,15.0,essay,3,high,False,LLM Concept v4
Q1_b,10,5.0,15.0,essay,3,high,False,LLM Concept v4
Q1_b,0,7.5,15.0,essay,3,high,False,LLM Concept v4
Q1_b,10,2.5,15.0,essay,3,high,False,LLM Concept v4
Q1_b,10,12.5,15.0,essay,3,high,False,LLM Concept v4
Q1_c,33,27.5,55.0,essay,6,high,False,LLM Concept v4
Q1_c,35,27.5,55.0,essay,6,high,False,LLM Concept v4
Q1_c,35,27.5,55.0,essay,6,high,False,LLM Concept v4
Q1_c,40,36.75,55.0,essay,6,high,False,LLM Concept v4
Q1_c,35,32.5,55.0,essay,11,high,False,LLM Concept v4
Q1_c,48,41.25,55.0,essay,6,high,False,LLM Concept v4
Q1_c,35,27.5,55.0,essay,6,high,False,LLM Concept v4
Q1_c,50,50.5,55.0,essay,6,high,False,LLM Concept v4
Q1_c,50,32.0,55.0,essay,6,medium,False,LLM Concept v4
Q1_c,33,42.5,55.0,essay,11,high,False,LLM Concept v4
Q1_c,55,41.25,55.0,essay,6,high,False,LLM Concept v4
Q1_c,55,55.0,55.0,essay,5,high,False,LLM Concept v4
Q1_c,45,27.5,55.0,essay,4,medium,True,LLM Concept v4
Q1_c,45,36.75,55.0,essay,6,medium,False,LLM Concept v4
Q1_c,40,50.5,55.0,essay,6,high,False,LLM Concept v4
Q1_c,40,41.25,55.0,essay,6,high,True,LLM Concept v4
Q1_c,50,55.0,55.0,essay,6,high,True,LLM Concept v4
Q1_c,45,55.0,55.0,essay,11,high,False,LLM Concept v4
Q1_c,30,15.0,55.0,essay,11,high,True,LLM Concept v4
Q1_c,30,18.25,55.0,essay,6,high,False,LLM Concept v4
Q2_a,0,0.0,10.0,essay,3,high,False,LLM Concept v4
Q2_a,0,0.0,10.0,essay,3,high,False,LLM Concept v4
Q2_a,0,1.75,10.0,essay,3,medium,False,LLM Concept v4
Q2_a,8,3.25,10.0,essay,3,high,False,LLM Concept v4
Q2_a,10,5.0,10.0,essay,3,high,False,LLM Concept v4
Q2_a,0,1.75,10.0,essay,3,medium,False,LLM Concept v4
Q2_a,10,8.25,10.0,essay,3,high,False,LLM Concept v4
Q2_a,10,10.0,10.0,essay,3,high,False,LLM Concept v4
Q2_a,10,6.75,10.0,essay,3,high,False,LLM Concept v4
Q2_a,0,0.0,10.0,essay,3,high,False,LLM Concept v4
Q2_a,10,6.75,10.0,essay,3,high,False,LLM Concept v4
Q2_a,0,0.0,10.0,essay,3,high,False,LLM Concept v4
Q2_a,0,1.75,10.0,essay,3,high,False,LLM Concept v4
Q2_a,10,10.0,10.0,essay,2,high,False,LLM Concept v4
Q2_a,10,3.25,10.0,essay,3,high,False,LLM Concept v4
Q2_b,0,0.0,45.0,essay,4,high,False,LLM Concept v4
Q2_b,5,5.5,45.0,essay,4,medium,False,LLM Concept v4
Q2_b,10,7.5,45.0,essay,6,high,True,LLM Concept v4
Q2_b,30,33.75,45.0,essay,4,high,False,LLM Concept v4
Q2_b,30,22.5,45.0,essay,6,medium,False,LLM Concept v4
Q2_b,30,22.5,45.0,essay,6,high,True,LLM Concept v4
Q2_b,35,17.0,45.0,essay,4,medium,False,LLM Concept v4
Q2_b,15,22.5,45.0,essay,6,high,False,LLM Concept v4
Q2_b,40,45.0,45.0,essay,6,high,False,LLM Concept v4
Q2_b,28,0.0,45.0,essay,0,low,False,LLM Concept v4
Q2_b,35,37.5,45.0,essay,6,high,False,LLM Concept v4
Q2_b,26,22.5,45.0,essay,4,high,True,LLM Concept v4
Q2_b,28,45.0,45.0,essay,6,high,False,LLM Concept v4
Q2_b,30,22.5,45.0,essay,6,high,True,LLM Concept v4
Q2_b,16,0.0,45.0,essay,6,high,False,LLM Concept v4
Q2_b,45,37.5,45.0,essay,6,high,False,LLM Concept v4
Q2_b,45,33.75,45.0,essay,4,high,False,LLM Concept v4
Q3_a,0,6.75,10.0,essay,3,high,False,LLM Concept v4
Q3_a,6,1.75,10.0,essay,3,high,False,LLM Concept v4
Q3_a,0,3.25,10.0,essay,3,medium,False,LLM Concept v4
Q3_a,10,6.75,10.0,essay,3,high,False,LLM Concept v4
Q3_a,9,5.0,10.0,essay,3,high,False,LLM Concept v4
Q3_a,8,3.25,10.0,essay,3,high,False,LLM Concept v4
Q3_a,4,1.75,10.0,essay,3,high,False,LLM Concept v4
Q3_a,0,5.0,10.0,essay,3,high,False,LLM Concept v4
Q3_a,0,3.25,10.0,essay,3,high,False,LLM Concept v4
Q3_a,5,6.75,10.0,essay,3,high,False,LLM Concept v4
Q3_a,0,0.0,10.0,essay,3,high,False,LLM Concept v4
Q3_a,8,5.0,10.0,essay,3,high,False,LLM Concept v4
Q3_a,8,3.25,10.0,essay,3,medium,False,LLM Concept v4
Q3_a,6,5.0,10.0,essay,3,high,False,LLM Concept v4
Q3_a,7,3.25,10.0,essay,3,high,False,LLM Concept v4
Q3_a,6,1.75,10.0,essay,3,high,False,LLM Concept v4
Q3_a,8,5.0,10.0,essay,3,high,False,LLM Concept v4
Q3_a,8,3.25,10.0,essay,3,high,False,LLM Concept v4
Q3_a,8,6.75,10.0,essay,3,high,False,LLM Concept v4
Q3_b,8,5.0,15.0,essay,3,high,False,LLM Concept v4
Q3_b,10,7.5,15.0,essay,3,high,True,LLM Concept v4
Q3_b,5,7.5,15.0,essay,3,high,False,LLM Concept v4
